NAMA PAKET,TAHUN,JENIS INFRASTRUKTUR,Latitude,Longitude
DD REHAB DI SISTEM KALIBAWANG,2016,Irigasi ,-7.661570724,110.2648719
PENGUKURAN DAN  INVENTARISASI KONDISI BANGUNAN SUNGAI KALI KUNING DAN  KALI PABELAN,2008,Irigasi ,-7.824131161,110.4373867
PENYUSUNAN DLH REHAB DI WS SERBOG ,2015,Irigasi ,-7.512673049,109.2668222
DD AIR BAKU PEDESAAN KULON PROGO ,2013,Air Baku,-7.834074412,110.1916942
DD AIR BAKU SERBOG ,2016,Air Baku,-7.498518031,109.2164181
DD JARINGAN PEMANFAATAN AIR BAKU BENDUNGAN BENER ,2016,Air Baku,-7.601383581,110.0211276
DD REHABILITASI JETTY MUARA SUNGAI PROGO ,2012,Jetty,-7.982457487,110.2062301
DETAIL DESAIN BANGUNAN JETTY MUARA SUNGAI OPAK,2009,Jetty,-8.008947797,110.2848557
INVENTARISASI DAN STUDI IDENTIFIKASI PANTAI SELATAN DI WS SERAYU BOGOWONTO,2010,Pantai,-7.899338838,110.0310624
INVENTARISASI DAN DESAIN PLTMH DI WS SERAYU BOGOWONTO ,2010,Pembangkit Listrik ,-7.501730058,109.2549174
DETAIL DESAIN BANGUNAN PENGAMAN SALURAN INDUK MATARAM (30 KM),2008,Irigasi,-7.693608441,110.2714442
PEKERJAAN DETAIL DESAIN BANGUNAN PENGAMAN SALURAN INDUK MATARAM (30KM),2008,Irigasi,-7.696253316,110.2774446
SID DAN PENYUSUNAN DOKUMEN LINGKUNGAN HIDUP PENGAMANAN PANTAI KAB. CILACAP,2021,Pengaman Pantai,-7.733906568,109.0217214
AMDAL LARAP YIA,2020,Pengaman Pantai,-7.88493,110.040278
DD REHAB PENGENDALIAN BANJIR DAS LUK ULO DAN DAS MAWAR ,2011,Pengendali Banjir,-7.648044401,109.6459211
SID PENGENDALIAN BANJIR DAS SERANG,2011,Pengendali Banjir,-7.815645247,110.16766
DD REHAB PRASARANA BANJIR WS SERBOG DAN WS POS,2014,Pengendali Banjir,-7.717482812,110.2165516
SID PENGENDALIAN BANJIR DAS OPAK ,2011,Pengendali Banjir,-7.892330426,110.3856142
REVIEW DESAIN DAN PENYUSUNAN DOKUMEN LINGKUNGAN HIDUP PENGENDALIAN BANJIR SUNGAI KALIYASA  ,2021,Pengendali Banjir,-7.683458,109.087253
"DESAIN PENGENDALIAN BANJIR KOTA PURWOKERTO DAN SEKITARNYA DI KABUPATEN BANYUMAS, KEBUMEN DAN CILACAP",2021,Pengendali Banjir,-7.434011,109.227392
"DD BANGUNAN PENGENDALI BANJIR DAS BOGOWONTO, COKROYASAN, WAWAR",2015,Pengendali Banjir ,-7.559062646,110.0208929
PEKERJAAN DETAIL DESAIN BANGUNAN PENGENDALI SEDIMEN 3 LOKASI DI DAS SERAYU,2007,Pengendali Sedimen,-7.512644895,109.2635911
DESAIN PENGAMANAN TEBING SUNGAI SERAYU DESA KARANGRENA MAOS,2022,Pengendali Sungai,-7.597275531,109.1271512
"DD KONSERVASI TERPADU SUB DAS TULIS, MERAWU, BEGALUH",2012,Pengendali Sungai,-7.298305102,109.830154
DESAIN PENANGANAN SUNGAI DAN PENGENDALIAN SEDIMEN WS POS,2022,Pengendali Sungai,-7.883374112,110.0431075
PEKERJAAN DD DAN DLH PENGENDALIAN BANJIR DAS PROGO,2022,Pengendali Sungai,-7.910540206,110.0997804
DESAIN TEBING PROGO,2022,Pengendali Sungai,-7.732213587,110.2217426
PEKERJAAN DESAIN BANGUNAN PENGENDALI KALI OPAK HILIR KABUPATEN BANTUL ,2004,Pengendali Sungai,-7.94675682,110.3615907
PENYUSUNAN DLH KANTONG LUMPUR GENDOL ,2012,Pengendali Sungai,-7.656212845,110.4639954
DESAIN PERKUATAN TEBING SUNGAI DI DAS SERAYU,2023,Pengendali Sungai,-7.390685,109.373816
KONSEP MASTERPLAN PROGO HULU DAN PERKUATAN TEBING SUNGAI WS POS,2021,Pengendali Sungai,-7.7721,110.4179
DETAIL PERKUATAN TEBING KAWASAN SUNGAI TAMBAK BAYAN,2022,Pengendali Sungai,-7.786656,110.420892
"PEKERJAAN PERENCANAAN PENYEDIAAN AIR BAKU KECAMATAN KASIHAN, KABUPATEN BANTUL ",2004,Air Baku,-7.810703386,110.3308185
PERENCANAAN PENYEDIAAN AIR BAKU PEDESAAN DI WS POS ,2010,Air Baku,-7.995948036,110.4416757
REHABILITASI PRASARANA SUNGAI DI ANAK SUNGAI OPAK,2023,Prasarana Sungai,-7.721,110.455
DESAIN LANSKAP RUSUN ASN BBWS SO,2022,Rusun,-7.759355409,110.4275917
SID SABO DAM,2021,Sabo Dam,-7.544,110.36
STUDI PENGELOLAAN DAERAH KONSERVASI AIR TANAH DI DAS SERAYU,2008,Sungai,-7.608829,109.137413
REVIEW DOKUMEN RPSDA WS SB,2023,Sungai,-7.53,109.167
PENYUSUNAN RPSDA SERBOG II ,2012,Sungai,-7.502420492,109.2591124
STUDI MORFOLOGI SERAYU 2012 ,2012,Sungai,-7.510582813,109.2674971
"DD KONSERVASI TERPADU PEKACANGAN, KLAWING, GINTUNG",2012,Sungai,-7.376983502,109.4520535
STUDI KONSERVASI DAS JLADRI DAN STUDI PENGELOLAAN SUNGAI DONAN,2008,Sungai,-7.729167,109.4625
PEKERJAAN PENYUSUNAN INFORMASI MONITORING BANJIR DAS TELOMOYO ,2008,Sungai,-7.6105,109.509722
SURVEY DAN IDENTIFIKASI POTENSI SUMBER AIR DI WILAYAH SUNGAI SERAYU–BOGOWONTO,2008,Sungai,-7.493967845,109.2361964
PENYUSUNAN RPSDA WS SERAYU BOGOWONTO TAHAP I ,2011,Sungai,-7.403011016,109.7779631
DD KONSERVASI TERPADU SUB DAS SERAYU DAN MERAWU ,2011,Sungai,-7.208608685,109.8225083
DD KONSERVASI DAS BUTUH DAN DAS KEDUGGUPIT ,2011,Sungai,-7.720164225,109.8290905
DD KONSERVASI DAS BUTUH,2011,Sungai,-7.721672119,109.8537466
STUDI KONSERVASI DAS JLADRI DAN STUDI PENGELOLAAN SUNGAI DONAN,2008,Sungai,-7.718529465,108.9959675
FINALISASI POLA PENGELOLAAN SDA WS SERAYU BOGOWONTO,2010,Sungai,-7.608516755,110.022078
FINALISASI POLA PSDA WS SERBOG ,2011,Sungai,-7.609014003,110.0222269
POLA SERBOG-USULAN ,2009,Sungai,-7.609371887,110.0224729
VALUASI EKONOMI SUMBER DAYA AIR DAS BOGOWONTO,2008,Sungai,-7.898888889,110.0305556
SURVEY PENGUKURAN GEOLISTRIK DI WILAYAH SERAYU–BOGOWONTO,2008,Sungai,-7.5322,110.0336
DETAIL DESAIN PENGAMANAN PANTAI DAN PENGENDALIAN BANJIR SUNGAI BOGOWONTO DAN SUNGAI SERANG,2019,Sungai,-7.88493,110.040278
STUDI GEOHIDROMORFOLOGI SERANG,2017,Sungai,-7.9,110.1
REVIEW POLA PSDA WS POS,2015,Sungai,-7.710678441,110.2206525
MASTERPLAN PENGELOLAAN SUMBER DAYA AIR WILAYAH SUNGAI PROGO OPAK SERANG,2008,Sungai,-7.734906999,110.2207283
DD BPS SUNGAI PROGO,2018,Sungai,-7.65,110.235
PENYUSUNAN DLH K. PUTIH ,2012,Sungai,-7.605044973,110.3026119
PRA-DESAIN DAN PENGUKURAN GAJAHWONG DAN WINOGO,2017,Sungai,-7.801389,110.363889
DETAIL DESAIN PENGELOLAAN DAN PEMANFAATAN SUMBER DAYA AIR SUNGAI CODE,2009,Sungai,-7.799574952,110.3707623
DD SUNGAI CODE PENGELOLAAN DAN PEMANFAATAN SUMBER DAYA AIR DI SUNGAI CODE,2009,Sungai,-7.799574952,110.3707623
FINALISASI POLA WS SERBOG POS ,2010,Sungai,-7.888924842,110.3869861
PENYUSUNAN DLH LARAP SUNGAI BAWAH TANAH ,2016,Sungai,-7.856330806,110.4993436
PERENCANAAN 4 UNIT TELAGA DI KAB GUNKID ,2010,Telaga ,-8.026298108,110.5966213
PERENCANAAN 5 UNIT TELAGA DI KAB GUNKID,2011,Telaga ,-8.00367838,110.6205949
PERENCANAAN 5 UNIT TELAGA DI KAB GUNKID,2010,Telaga ,-8.010404601,110.6257028
INVENTARISASI WADUK DAS PROGO HULU ,2010,Waduk ,-7.340020459,110.2096774
INVENTARISASI DAN IDENTIFIKASI POTENSI WADUK DI DAS PROGO HULU ,2010,Waduk ,-7.381415557,110.216399
STUDI BATAS SEMPADAN DI SEMPOR,2024,Irigasi,-7.574601917,109.4893047
STUDI BATAS SEMPADAN DI KEDUNGPUTRI,2024,Irigasi,-7.706915358,110.0264549
STUDI BATAS SEMPADAN DI BANJARCAHYANA,2024,Irigasi,-7.38591937,109.600473
PENGENDALI BANJIR DAN DRAINASE PERKOTAAN SUNGAI BELIK,2025,Sungai,-7.776253903,110.3804331
GROUNDSILL DAN TALANG SERAYU,2025,Sungai dan Irigasi,-7.588812249,109.1429401
DED PENGENDALI BANJIR SUNGAI RAWAJEMBANGAN,2025,Pengendali Banjir,-7.898670413,110.2461419
"DED PENGENDALI BANJIR DAS IJO, TIPAR, TELOMOYO",2025,Pengendali Banjir,-7.6387,109.35297
DED REHABILITASI dan DLH DI KALIBAWANG,2025,Irigasi,-7.748041915,110.1949881
REHABILITASI EMBUNG TAMBAKBOYO,2024,Embung,-7.755110769,110.4141977
SPAM BANDARA JBS,2024,Sungai,-7.462565833,109.4145906
DD LANJUTAN LARAP DAN DLH DI BENER,2024,Irigasi,-7.610719477,110.0222235
OPTIMASI SALURAN IRIGASI DAN PERIKANAN DI JANTURAN,2024,Irigasi,-7.736523242,110.3191492
WORKSHOP ALAT BERAT DAN BAHAN BANJIRAN WS SB,2024,Sungai,-7.668191561,109.8109261
EMBUNG BALERANTE,2024,Embung,-7.612088731,110.466973
DPT SUNGAI KLAWING LANJUTAN,2024,DPT,-7.362781694,109.3795977
DPT SUNGAI SERAYU LANJUTAN,2024,DPT,-7.444741033,109.4882497
DPT SUNGAI SERANG WATES,2024,DPT,-7.889001074,110.1415613
DPT SUNGAI WINONGO MLATI,2024,DPT,-7.759631316,110.3570542
DPT SUNGAI OPAK SITIMULYO,2024,DPT,-7.851195263,110.4322661
DPT SUNGAI KALIBUNTUNG KRICAK,2024,DPT,-7.780989855,110.3579515
REVISI RPSDA WS SERAYU BOGOWONTO ,2024,Sungai,-7.729011976,109.7479793
REVIU DESAIN REHABILITASI GROUNDSILL SRANDAKAN,2024,Groundsill,-7.940870417,110.2414129
DED PEMBANGUNAN PENGENDALI BANJIR DAS OPAK DAN JETTY MUARA SUNGAI OPAK,2026,Pengendali Banjir,-8.010012662,110.2826138
DED PENGENDALI BANJIR LAHAR DINGIN GUNUNG MERAPI KAB. SLEMAN DAN KAB. MAGELANG,2026,Pengendali Banjir,-7.624370579,110.4433259
PENYUSUNAN DLH PRASARANA PENGENDALI BANJIR DAN DAYA RUSAK AIR DAS TIPAR DAN IJO,2026,DLH,-7.629815145,109.3313035
DED PENGENDALI BANJIR DAS SERAYU,2026,Pengendali Banjir,-7.424064942,109.5627031
REVISI RPSDA WS POS TAHAP II,2026,Sungai,-7.787847284,110.2858266
REVISI RPSDA WS POS TAHAP I,2025,Sungai,-7.930688359,110.3634176
