NAMA PAKET,TAHUN,JENIS INFRASTRUKTUR,Latitude,Longitude
DED DRAINASE KOTA MAGELANG,2020,Drainase,-7.4806,110.2178
RENCANA INDUK DRAINASE KOTA MAGELANG,2019,Drainase,-7.4706,110.2178
"PEKERJAAN REVIEW DESAIN TELAGA MERDADA, DESAIN TELAGA SITERUS DAN NORMALISASI SUNGAI TULIS",2008,Embung,-7.39056,109.75083
"PEKERJAAN REVIEW DESAIN TELAGA MERDADA, DESAIN TELAGA SITERUS DAN NORMALISASI SUNGAI TULIS",2008,Embung,-7.22091,109.91076
STUDI KELAYAKAN EMBUNG KALI PASIR-LERENG EMBUNG SEJATI ,2012,Embung,-7.825230021,109.9196626
SURVEI DAN IDENTIFIKASI POTENSI SUMBER AIR DI WILAYAH SUNGAI SERAYU BOGOWONTO ,2007,Embung,-7.608834054,110.0221538
PEKERJAAN PERENCANAAN PENYEDIAAN AIR BAKU PEDESAAN (5 UNIT EMBUNG) DI KABUPATEN GUNUNGKIDUL DAN KULOPROGO D I YOGYAKARTA ,2005,Embung,-7.837417277,110.0908345
PEKERJAAN PERENCANAAN PENYEDIAAN AIR BAKU,2006,Embung,-7.830534333,110.1037234
PEKERJAAN PERENCANAAN PENYEDIAAN AIR BAKU,2006,Embung,-7.731998627,110.1342423
PERENCANAAN PENYEDIAAN AIR BAKU (5 UNIT EMBUNG) DI KABUPATEN GUNUNGKIDUL DAN KULONPROGO PROPINSI DAERAH ISTIMEWA YOGYAKARTA,2007,Embung,-7.737309375,110.1656073
PEKERJAAN PERENCANAAN PENYEDIAAN AIR BAKU PEDESAAN (5 UNIT EMBUNG) DI KABUPATEN GUNUNGKIDUL DAN KULOPROGO D I YOGYAKARTA ,2005,Embung,-7.706722207,110.2040536
PEKERJAAN PENYUSUNAN DETAIL DESAIN EMBUNG DI KABUATEN BANTUL,2008,Embung,-7.878900913,110.3034074
PEKERJAAN PERENCANAAN PENYEDIAAN AIR BAKU PEDESAAN (5 UNIT EMBUNG) DI KABUPATEN GUNUNGKIDUL DAN KULOPROGO D I YOGYAKARTA ,2005,Embung,-7.996377453,110.3593383
PENYUSUNAN DLH LANGENSARI ,2012,Embung,-7.786298933,110.3817479
PENYUSUNAN DLH EMBUNG WS SO ,2012,Embung,-7.890024191,110.3885407
PENYUSUNAN DETAIL DESAIN EMBUNG SUKOREJO DAN BABATAN DI KABUPATEN SLEMAN,2007,Embung,-7.612719915,110.3975609
 PENYUSUNAN PERENCANAAN PEMANFAATAN FUNGSIONAL EMBUNG KEMIRI,2008,Embung,-7.621347608,110.4088687
